Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,national_temperature_2m,national_apparent_temperature,national_relative_humidity_2m,national_precipitation,national_wind_speed_10m,national_rain,national_wind_direction_10m
01-04-2026,22,21:00 - 21:15,12989.70,8617.80,6403.60,6403.60,9499.53,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,22,21:15 - 21:30,13199.30,8240.30,6141.00,6141.00,10000.00,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,22,21:30 - 21:45,13354.90,8037.40,5938.07,5938.07,10000.00,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,22,21:45 - 22:00,13296.60,7894.40,5795.10,5795.10,10000.00,23.5,26.853811,84.05503,0.0,5.771239,0.0,356.42374
01-04-2026,23,22:00 - 22:15,13712.00,6720.30,4621.00,4621.00,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,23,22:15 - 22:30,13705.00,6531.10,4484.50,4484.50,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,23,22:30 - 22:45,13299.50,6310.90,4264.30,4264.30,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,23,22:45 - 23:00,13160.30,6262.70,4268.80,4268.80,10000.00,22.85,25.655779,85.29193,0.0,8.12197,0.0,347.19574
01-04-2026,24,23:00 - 23:15,13211.00,5773.50,4320.90,4320.90,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
01-04-2026,24,23:15 - 23:30,12712.70,5955.60,4520.59,4520.59,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
01-04-2026,24,23:30 - 23:45,12511.20,5938.80,4951.40,4951.40,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
01-04-2026,24,23:45 - 24:00,12856.60,6315.60,5328.19,5328.19,10000.00,22.25,25.024338,87.911835,0.0,7.9932976,0.0,352.23492
02-04-2026,1,00:00 - 00:15,16269.20,8941.80,8411.80,8411.80,9000.51,21.65,24.489048,89.51116,0.0,6.519877,0.0,353.6599
02-04-2026,1,00:15 - 00:30,16690.40,9161.40,8631.40,8631.40,9000.86,21.65,24.489048,89.51116,0.0,6.519877,0.0,353.6599
02-04-2026,1,00:30 - 00:45,17031.00,9656.30,9127.30,9127.30,9000.53,21.65,24.489048,89.51116,0.0,6.519877,0.0,353.6599
02-04-2026,1,00:45 - 01:00,17076.20,10005.00,9462.30,9462.30,8999.38,21.65,24.489048,89.51116,0.0,6.519877,0.0,353.6599
02-04-2026,2,01:00 - 01:15,16819.90,11005.00,9524.50,9524.50,5998.47,21.15,23.695604,89.47345,0.0,6.849467,0.0,356.98727
02-04-2026,2,01:15 - 01:30,16617.40,11062.10,9330.40,9330.40,5998.16,21.15,23.695604,89.47345,0.0,6.849467,0.0,356.98727
02-04-2026,2,01:30 - 01:45,16431.70,11434.00,9428.10,9428.10,5129.96,21.15,23.695604,89.47345,0.0,6.849467,0.0,356.98727
02-04-2026,2,01:45 - 02:00,16545.00,11689.00,9476.50,9476.50,5110.54,21.15,23.695604,89.47345,0.0,6.849467,0.0,356.98727
02-04-2026,3,02:00 - 02:15,16571.00,12875.40,9702.60,9702.60,4829.55,20.75,22.86279,88.05717,0.0,7.69592,0.0,349.21573
02-04-2026,3,02:15 - 02:30,16946.70,13009.20,10064.30,10064.30,4829.91,20.75,22.86279,88.05717,0.0,7.69592,0.0,349.21573
02-04-2026,3,02:30 - 02:45,17122.90,13132.80,10240.10,10240.10,4900.33,20.75,22.86279,88.05717,0.0,7.69592,0.0,349.21573
02-04-2026,3,02:45 - 03:00,17361.20,13475.60,10497.50,10497.50,4829.76,20.75,22.86279,88.05717,0.0,7.69592,0.0,349.21573
02-04-2026,4,03:00 - 03:15,17389.90,14174.10,10349.50,10349.50,4554.44,20.5,22.179361,85.31589,0.0,8.311245,0.0,355.03033
02-04-2026,4,03:15 - 03:30,17473.60,14171.30,10437.20,10437.20,4554.72,20.5,22.179361,85.31589,0.0,8.311245,0.0,355.03033
02-04-2026,4,03:30 - 03:45,17771.90,14368.00,10743.80,10743.80,4572.37,20.5,22.179361,85.31589,0.0,8.311245,0.0,355.03033
02-04-2026,4,03:45 - 04:00,17788.40,14536.30,10775.20,10775.20,4554.67,20.5,22.179361,85.31589,0.0,8.311245,0.0,355.03033
02-04-2026,5,04:00 - 04:15,17743.00,13997.30,10687.20,10687.20,4900.64,20.05,21.424719,83.93337,0.0,8.287822,0.0,357.5105
02-04-2026,5,04:15 - 04:30,17571.40,13501.30,10349.02,10349.02,4999.92,20.05,21.424719,83.93337,0.0,8.287822,0.0,357.5105
02-04-2026,5,04:30 - 04:45,17640.70,13295.30,10409.70,10409.70,5998.04,20.05,21.424719,83.93337,0.0,8.287822,0.0,357.5105
02-04-2026,5,04:45 - 05:00,17557.40,12703.10,10256.10,10256.10,5998.67,20.05,21.424719,83.93337,0.0,8.287822,0.0,357.5105
02-04-2026,6,05:00 - 05:15,17438.40,11949.60,10298.90,10298.90,10000.00,20.2,21.35318,78.04425,0.0,6.924738,0.0,8.97255
02-04-2026,6,05:15 - 05:30,17641.20,11136.50,9485.77,9485.77,10000.00,20.2,21.35318,78.04425,0.0,6.924738,0.0,8.97255
02-04-2026,6,05:30 - 05:45,17792.70,11404.70,9753.99,9753.99,10000.00,20.2,21.35318,78.04425,0.0,6.924738,0.0,8.97255
02-04-2026,6,05:45 - 06:00,18115.40,12248.80,10598.10,10598.10,10000.00,20.2,21.35318,78.04425,0.0,6.924738,0.0,8.97255
02-04-2026,7,06:00 - 06:15,18398.40,12942.20,10931.98,10931.98,7116.81,20.4,21.356476,76.596275,0.0,7.9932976,0.0,7.7650824
02-04-2026,7,06:15 - 06:30,19134.00,13331.00,11460.40,11460.40,10000.00,20.4,21.356476,76.596275,0.0,7.9932976,0.0,7.7650824
02-04-2026,7,06:30 - 06:45,19999.50,14332.30,11789.80,11789.80,7116.11,20.4,21.356476,76.596275,0.0,7.9932976,0.0,7.7650824
02-04-2026,7,06:45 - 07:00,20592.40,14747.20,12442.70,12442.70,7116.47,20.4,21.356476,76.596275,0.0,7.9932976,0.0,7.7650824
02-04-2026,8,07:00 - 07:15,20442.90,15996.00,12764.00,12764.00,5998.00,22.4,22.932665,69.29138,0.0,11.874544,0.0,14.036275
02-04-2026,8,07:15 - 07:30,20000.40,16670.40,12874.50,12874.50,4829.95,22.4,22.932665,69.29138,0.0,11.874544,0.0,14.036275
02-04-2026,8,07:30 - 07:45,19062.20,16795.70,12013.20,12013.20,4620.01,22.4,22.932665,69.29138,0.0,11.874544,0.0,14.036275
02-04-2026,8,07:45 - 08:00,18196.10,17479.80,11246.70,11246.70,4035.88,22.4,22.932665,69.29138,0.0,11.874544,0.0,14.036275
02-04-2026,9,08:00 - 08:15,16518.90,19334.50,10299.70,10299.70,3822.02,25.75,26.622082,58.679688,0.0,11.113451,0.0,24.904745
02-04-2026,9,08:15 - 08:30,15793.10,20155.20,10117.70,10117.70,3464.55,25.75,26.622082,58.679688,0.0,11.113451,0.0,24.904745
02-04-2026,9,08:30 - 08:45,14971.00,22433.70,9619.30,9619.30,3133.97,25.75,26.622082,58.679688,0.0,11.113451,0.0,24.904745
02-04-2026,9,08:45 - 09:00,14525.80,25181.60,8935.20,8935.20,3019.97,25.75,26.622082,58.679688,0.0,11.113451,0.0,24.904745
02-04-2026,10,09:00 - 09:15,14068.70,29056.80,9589.00,9589.00,2890.39,28.35,28.454311,47.268757,0.0,13.513193,0.0,48.2398
02-04-2026,10,09:15 - 09:30,14068.00,30851.70,9597.20,9597.20,2902.75,28.35,28.454311,47.268757,0.0,13.513193,0.0,48.2398
02-04-2026,10,09:30 - 09:45,14331.10,32933.50,9852.90,9852.90,2858.88,28.35,28.454311,47.268757,0.0,13.513193,0.0,48.2398
02-04-2026,10,09:45 - 10:00,14332.40,35246.80,9788.30,9788.30,2775.48,28.35,28.454311,47.268757,0.0,13.513193,0.0,48.2398
02-04-2026,11,10:00 - 10:15,12747.30,36889.30,9506.90,9506.90,2439.71,30.3,29.744862,36.778137,0.0,15.778516,0.0,55.222095
